name;actor_type;nationality;alternative_names;notes
MacAndrews & Forbes;firm;British;MacAndrews and Forbes;
Simon & Co.;firm;German;German Simon Company;
Abacıoğlu;firm;Ottoman;Abacoglou;
Sarandidi;entrepreneur;Ottoman;;
Hasan Tahsin;entrepreneur;Ottoman;;
Atnaş Dimo;entrepreneur;Ottoman;Atnaş Hacı Dimo;Tax farmer (öşür mültezimi) and procurement intermediary for MacAndrews & Forbes in Umurlu and Nazilli? region
Şahinoğlu Artin;entrepreneur;Ottoman;;
Oseb;entrepreneur;Ottoman;;
Italian Martini Company;firm;Italian;;
Varpati;entrepreneur;Greek;Iraklis Varpati;"Commercial agent representing a rival European company in Söke; involved in 1878–79 dispute with MacAndrews & Forbes."
Hayim Nesim Polako;entrepreneur;Austrian;;
Alexander Forbes;entrepreneur;British;;
Hacı Davud;entrepreneur;Ottoman;;
Avadikyan;entrepreneur;Ottoman;Avadis Avadikyan;Operated under American consular protection
İstelyo Yani;entrepreneur;Ottoman;;
Arakçin;entrepreneur;Ottoman;Henri Arakçin;"Claimed French protection; nationality disputed in 1906–07 licorice seizure case; subject of extended nationality investigation."
Atanas;entrepreneur;Russian;;
